roi,index,abs_int
1,0,401.570404052734
1,1,476.550994873047
1,2,579.027099609375
1,3,762.034606933594
1,4,943.219909667969
1,5,1220.22973632813
1,6,1598.07263183594
1,7,2077.06958007812
1,8,2677.85375976562
1,9,3426.06323242188
1,10,4282.099609375
1,11,5313.658203125
1,12,6407.39599609375
1,13,7599.87744140625
1,14,8759.3271484375
1,15,9974.1279296875
1,16,11100.7236328125
1,17,12066.791015625
1,18,12802.5439453125
1,19,13162.36328125
1,20,13148.9287109375
1,21,12989.5791015625
1,22,12413.1396484375
1,23,11782.1376953125
1,24,10933.990234375
1,25,9993.9013671875
1,26,8993.48046875
1,27,8292.6513671875
1,28,7530.671875
1,29,6946.97607421875
1,30,6575.15234375
1,31,6300.8447265625
1,32,6124.37548828125
1,33,6079.50732421875
1,34,6041.2294921875
1,35,5998.1552734375
1,36,5877.30908203125
1,37,5669.93017578125
1,38,5492.22705078125
1,39,5192.89794921875
1,40,4955.45556640625
1,41,4616.63525390625
1,42,4305.40869140625
1,43,4038.68530273438
1,44,3813.67309570313
1,45,3635.447265625
1,46,3432.30078125
1,47,3329.5771484375
1,48,3266.08154296875
1,49,3319.30517578125
1,50,3424.462890625
1,51,3476.55029296875
1,52,3566.15087890625
1,53,3651.1708984375
1,54,3762.84228515625
1,55,3829.39086914062
1,56,3769.01806640625
1,57,3712.73876953125
1,58,3627.87475585937
1,59,3407.08569335938
1,60,3258.26196289062
1,61,3049.66967773437
1,62,2766.59252929687
1,63,2511.93090820313
1,64,2173.69799804688
1,65,1878.09704589844
1,66,1589.20959472656
1,67,1325.04895019531
1,68,1122.45556640625
1,69,937.16748046875
1,70,768.142211914063
1,71,671.8671875
1,72,564.76611328125
1,73,471.381805419922
1,74,422.385498046875
1,75,361.434600830078
1,76,320.464294433594
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0
1,98,0
1,100,0
2,0,491.712799072266
2,1,566.222595214844
2,2,682.346923828125
2,3,838.174194335937
2,4,1095.52770996094
2,5,1372.49865722656
2,6,1792.86022949219
2,7,2391.94702148438
2,8,3145.8701171875
2,9,4103.5068359375
2,10,5300.0302734375
2,11,6593.181640625
2,12,8213.6748046875
2,13,9956.189453125
2,14,11916.38671875
2,15,13886.078125
2,16,15847.64453125
2,17,17751.9453125
2,18,19135.705078125
2,19,20249.712890625
2,20,20721.8125
2,21,20908.384765625
2,22,20351.224609375
2,23,19464.306640625
2,24,18160.982421875
2,25,16728.1015625
2,26,15049.830078125
2,27,13389.5234375
2,28,11892.3681640625
2,29,10704.3515625
2,30,9623.9951171875
2,31,8919.91015625
2,32,8313.4951171875
2,33,7948.65185546875
2,34,7686.53369140625
2,35,7478.76806640625
2,36,7286.3935546875
2,37,7031.03515625
2,38,6764.20263671875
2,39,6446.38037109375
2,40,6084.740234375
2,41,5707.23291015625
2,42,5323.611328125
2,43,4966.3671875
2,44,4680.2255859375
2,45,4390.62255859375
2,46,4219.0595703125
2,47,4079.91870117188
2,48,4059.61108398438
2,49,4084.99926757813
2,50,4224.94921875
2,51,4358.5126953125
2,52,4461.013671875
2,53,4574.8125
2,54,4703.0185546875
2,55,4809.6474609375
2,56,4780.1044921875
2,57,4741.60888671875
2,58,4563.58349609375
2,59,4438.23486328125
2,60,4174.5166015625
2,61,3848.88793945312
2,62,3520.966796875
2,63,3171.54907226563
2,64,2749.3310546875
2,65,2339.13598632813
2,66,2008.064453125
2,67,1659.17980957031
2,68,1361.79516601562
2,69,1144.04248046875
2,70,935.673828125
2,71,781.76171875
2,72,662.296203613281
2,73,544.421203613281
2,74,473.730987548828
2,75,406.781097412109
2,76,370.774200439453
2,77,0
2,78,0
2,79,0
2,80,0
2,81,0
2,82,0
2,83,0
2,84,0
2,85,0
2,86,0
2,87,0
2,88,0
2,89,0
2,90,0
2,91,0
2,92,0
2,93,0
2,94,0
2,95,0
2,96,0
2,97,0
2,98,0
2,100,0
3,0,454.216003417969
3,1,490.623992919922
3,2,573.061706542969
3,3,677.775390625
3,4,810.815795898438
3,5,1023.07977294922
3,6,1284.654296875
3,7,1715.50659179688
3,8,2282.1318359375
3,9,2982.74389648437
3,10,3902.41845703125
3,11,5059.736328125
3,12,6542.58447265625
3,13,8304.5908203125
3,14,10396.87890625
3,15,12834.916015625
3,16,15437.0830078125
3,17,18136.17578125
3,18,20922.087890625
3,19,23727.36328125
3,20,26082.27734375
3,21,27996.666015625
3,22,29233.076171875
3,23,29763.017578125
3,24,29478.470703125
3,25,28254.013671875
3,26,26546.58984375
3,27,24410.326171875
3,28,21993.65234375
3,29,19465.318359375
3,30,16955.41015625
3,31,14711.935546875
3,32,12782.5234375
3,33,11362.4892578125
3,34,10252.55078125
3,35,9409.1962890625
3,36,8738.673828125
3,37,8294.900390625
3,38,7940.328125
3,39,7559.43017578125
3,40,7175.1845703125
3,41,6919.60888671875
3,42,6557.41650390625
3,43,6153.5419921875
3,44,5788.8876953125
3,45,5375.8427734375
3,46,5165.16015625
3,47,4903.068359375
3,48,4747.80224609375
3,49,4648.9833984375
3,50,4685.00341796875
3,51,4692.12109375
3,52,4883.70703125
3,53,5054.1259765625
3,54,5284.00927734375
3,55,5554.14794921875
3,56,5647.75244140625
3,57,5736.21630859375
3,58,5925.3994140625
3,59,5849.2890625
3,60,5737.85986328125
3,61,5550.44580078125
3,62,5240.68701171875
3,63,4961.1669921875
3,64,4524.259765625
3,65,4165.7392578125
3,66,3689.51684570312
3,67,3191.54858398438
3,68,2728.7900390625
3,69,2313.99584960937
3,70,1957.89318847656
3,71,1620.86010742187
3,72,1304.22143554688
3,73,1082.01086425781
3,74,900.177185058594
3,75,726.541625976563
3,76,666.531005859375
3,77,0
3,78,0
3,79,0
3,80,0
3,81,0
3,82,0
3,83,0
3,84,0
3,85,0
3,86,0
3,87,0
3,88,0
3,89,0
3,90,0
3,91,0
3,92,0
3,93,0
3,94,0
3,95,0
3,96,0
3,97,0
3,98,0
3,100,0
4,0,285.194702148437
4,1,299.336303710938
4,2,340.820190429688
4,3,385.367004394531
4,4,451.539215087891
4,5,524.875427246094
4,6,643.036804199219
4,7,812.6669921875
4,8,1064.07836914063
4,9,1347.50805664063
4,10,1827.16735839844
4,11,2375.84204101563
4,12,3044.60400390625
4,13,3923.650390625
4,14,4925.80810546875
4,15,6022.91064453125
4,16,7405.8359375
4,17,8827.392578125
4,18,10297.1826171875
4,19,11773.708984375
4,20,13233.5087890625
4,21,14603.5009765625
4,22,15561.9716796875
4,23,16253.001953125
4,24,16698.681640625
4,25,16480.416015625
4,26,15979.830078125
4,27,15108.18359375
4,28,14102.0546875
4,29,12968.6083984375
4,30,11807.7216796875
4,31,10661.75390625
4,32,9647.791015625
4,33,8781.7607421875
4,34,8115.0361328125
4,35,7648.8369140625
4,36,7344.9736328125
4,37,7147.69140625
4,38,6962.8759765625
4,39,6764.63916015625
4,40,6555.26123046875
4,41,6364.3076171875
4,42,6137.2490234375
4,43,5727.57470703125
4,44,5481.44970703125
4,45,5129.74609375
4,46,4820.119140625
4,47,4530.70703125
4,48,4333.19189453125
4,49,4174.99853515625
4,50,4016.15112304688
4,51,4054.89404296875
4,52,4080.29077148438
4,53,4147.5859375
4,54,4344.22021484375
4,55,4499.68994140625
4,56,4728.50244140625
4,57,4849.03662109375
4,58,4939.06787109375
4,59,5045.3828125
4,60,5031.626953125
4,61,4951.4267578125
4,62,4731.283203125
4,63,4611.2236328125
4,64,4308.85791015625
4,65,3950.3466796875
4,66,3628.25634765625
4,67,3221.91455078125
4,68,2830.919921875
4,69,2389.28930664062
4,70,2087.505859375
4,71,1685.14282226563
4,72,1425.96142578125
4,73,1204.95947265625
4,74,1017.35528564453
4,75,839.403076171875
4,76,704.548400878906
4,77,0
4,78,0
4,79,0
4,80,0
4,81,0
4,82,0
4,83,0
4,84,0
4,85,0
4,86,0
4,87,0
4,88,0
4,89,0
4,90,0
4,91,0
4,92,0
4,93,0
4,94,0
4,95,0
4,96,0
4,97,0
4,98,0
4,100,0
5,0,308.335784912109
5,1,364.279693603516
5,2,424.554412841797
5,3,516.280883789063
5,4,637.97900390625
5,5,812.562805175781
5,6,1032.0087890625
5,7,1267.21264648438
5,8,1591.71252441406
5,9,1991.07019042969
5,10,2447.75561523437
5,11,2953.91430664063
5,12,3503.01806640625
5,13,4092.818359375
5,14,4615.8427734375
5,15,5192.94482421875
5,16,5700.34521484375
5,17,6158.37109375
5,18,6530.65087890625
5,19,6703.43603515625
5,20,6743.2578125
5,21,6669.607421875
5,22,6351.1416015625
5,23,6126.45703125
5,24,5782.912109375
5,25,5395.98193359375
5,26,4998.2314453125
5,27,4651.36083984375
5,28,4315.85302734375
5,29,3967.04565429688
5,30,3744.01391601562
5,31,3538.44921875
5,32,3335.03247070312
5,33,3138.828125
5,34,3025.0791015625
5,35,2885.4189453125
5,36,2781.56127929687
5,37,2632.49145507812
5,38,2478.10595703125
5,39,2337.2392578125
5,40,2218.13525390625
5,41,2036.57043457031
5,42,1901.51196289063
5,43,1779.65417480469
5,44,1677.99963378906
5,45,1624.36694335938
5,46,1538.33325195313
5,47,1469.04736328125
5,48,1482.46032714844
5,49,1486.25244140625
5,50,1532.65417480469
5,51,1560.42333984375
5,52,1598.48840332031
5,53,1661.47094726563
5,54,1699.7001953125
5,55,1731.59985351563
5,56,1687.62060546875
5,57,1683.45166015625
5,58,1625.74133300781
5,59,1544.58081054688
5,60,1469.046875
5,61,1367.17626953125
5,62,1253.99645996094
5,63,1134.31408691406
5,64,1052.49255371094
5,65,925.498291015625
5,66,831.503173828125
5,67,717.178894042969
5,68,625.758972167969
5,69,539.055603027344
5,70,471.90380859375
5,71,405.268005371094
5,72,360.621704101563
5,73,333.1669921875
5,74,276.891204833984
5,75,240.856994628906
5,76,218.871398925781
5,77,0
5,78,0
5,79,0
5,80,0
5,81,0
5,82,0
5,83,0
5,84,0
5,85,0
5,86,0
5,87,0
5,88,0
5,89,0
5,90,0
5,91,0
5,92,0
5,93,0
5,94,0
5,95,0
5,96,0
5,97,0
5,98,0
5,100,0
6,0,249.647705078125
6,1,289.06640625
6,2,328.989593505859
6,3,391.167388916016
6,4,463.700408935547
6,5,557.353393554688
6,6,698.052917480469
6,7,836.2490234375
6,8,1042.45593261719
6,9,1230.81213378906
6,10,1477.37829589844
6,11,1753.63134765625
6,12,2034.57739257813
6,13,2308.96240234375
6,14,2567.59619140625
6,15,2787.6357421875
6,16,2963.0634765625
6,17,3072.1552734375
6,18,3136.529296875
6,19,3181.7998046875
6,20,3164.45922851562
6,21,3125.58520507813
6,22,3087.00634765625
6,23,3020.55688476562
6,24,3007.53784179687
6,25,3035.35961914063
6,26,3085.31640625
6,27,3171.50244140625
6,28,3274.17993164062
6,29,3406.96069335937
6,30,3521.662109375
6,31,3638.25048828125
6,32,3668.0966796875
6,33,3755.529296875
6,34,3737.45629882812
6,35,3649.76123046875
6,36,3574.11962890625
6,37,3449.34521484375
6,38,3275.67236328125
6,39,3078.6357421875
6,40,2877.12255859375
6,41,2687.03881835938
6,42,2500.17651367187
6,43,2351.84521484375
6,44,2192.66845703125
6,45,2115.00463867187
6,46,2069.10766601563
6,47,2058.6416015625
6,48,2054.37255859375
6,49,2088.13305664062
6,50,2105.18823242188
6,51,2187.9794921875
6,52,2207.22875976562
6,53,2231.08764648437
6,54,2221
6,55,2192.55346679688
6,56,2133.1884765625
6,57,2066.6904296875
6,58,1933.01623535156
6,59,1809.96545410156
6,60,1653.22192382813
6,61,1493.71301269531
6,62,1322.54553222656
6,63,1181.58898925781
6,64,1012.86767578125
6,65,874.023620605469
6,66,761.565795898438
6,67,639.085815429688
6,68,550.123413085938
6,69,471.190002441406
6,70,406.835296630859
6,71,354.300506591797
6,72,311.802795410156
6,73,285.372985839844
6,74,262.136505126953
6,75,235.957794189453
6,76,213.635406494141
6,77,0
6,78,0
6,79,0
6,80,0
6,81,0
6,82,0
6,83,0
6,84,0
6,85,0
6,86,0
6,87,0
6,88,0
6,89,0
6,90,0
6,91,0
6,92,0
6,93,0
6,94,0
6,95,0
6,96,0
6,97,0
6,98,0
6,100,0
